address,PERIODIC_EXECUTION_score,PERIODIC_EXECUTION_support_n,PERIODIC_EXECUTION_state,PERIODIC_EXECUTION_reasons,SCRIPT_TEMPLATE_REPETITION_score,SCRIPT_TEMPLATE_REPETITION_support_n,SCRIPT_TEMPLATE_REPETITION_state,SCRIPT_TEMPLATE_REPETITION_reasons,BATCH_DISTRIBUTION_score,BATCH_DISTRIBUTION_support_n,BATCH_DISTRIBUTION_state,BATCH_DISTRIBUTION_reasons,FAN_IN_COLLECTION_score,FAN_IN_COLLECTION_support_n,FAN_IN_COLLECTION_state,FAN_IN_COLLECTION_reasons,CELL_CONSOLIDATION_score,CELL_CONSOLIDATION_support_n,CELL_CONSOLIDATION_state,CELL_CONSOLIDATION_reasons,CELL_FRAGMENTATION_score,CELL_FRAGMENTATION_support_n,CELL_FRAGMENTATION_state,CELL_FRAGMENTATION_reasons,ROUND_TRIP_score,ROUND_TRIP_support_n,ROUND_TRIP_state,ROUND_TRIP_reasons,IRREGULAR_ACTIVITY_score,IRREGULAR_ACTIVITY_support_n,IRREGULAR_ACTIVITY_state,IRREGULAR_ACTIVITY_reasons,DAO_ACTIVITY_score,DAO_ACTIVITY_support_n,DAO_ACTIVITY_state,DAO_ACTIVITY_reasons,top_archetype,top_score,is_scripted,touches_cellbase_directly,n_cellbase_inputs_direct,n_tx_in_window
ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,INSUFFICIENT_EVIDENCE,,False,False,0.0,0
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqf352eynr4y9zl66sdxjcef3a6z9uqhkncsaanyg,0.09470473180559137,3,OK,,0.5,2,OK,SINGLE_LOCK_SCRIPT,0.5720796640212936,3,OK,FANOUT_DOMINANT_SHAPE;EVEN_CAPACITY_SPREAD,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.4145652681611996,2,OK,1_TO_N_SHAPE,0.28291200425216584,3,OK,NEAR_ZERO_NET_FLOW,0.6758832034865467,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.6758832034865467,False,False,0.0,21
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq,0.2976143974354666,3,OK,LOW_LIFETIME_VARIANCE,0.7426550598476604,2,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.007000368814746564,3,OK,,0.0,2,OK,MANY_DISTINCT_SENDERS,0.0,2,OK,,0.006911495376113474,2,OK,,0.19894506293354888,3,OK,,0.7326618322938601,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.7326618322938601,True,False,0.0,919
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqty5egmnlvtn3p92d5w4nt07g6fn7564dcyz5qggqcgqusq29srmq,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,0.0,1,OK,,INSUFFICIENT_EVIDENCE,,False,False,0.0,0
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqv59f6lmp36qjwxty6pgjy454hms4cz9xrkpsqggqcgqusqm5y56x,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,0.0,1,OK,,INSUFFICIENT_EVIDENCE,,False,False,0.0,0
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqw37myuwmsdzkn58rnun5rd9gztrhr4u2gyz5qggqcgqusqj0ljyf,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,0.0,1,OK,,INSUFFICIENT_EVIDENCE,,False,False,0.0,0
ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,0.11848223476378093,3,OK,,0.4813385156000426,2,OK,SINGLE_LOCK_SCRIPT,0.0026099507838763633,3,OK,MANY_DISTINCT_RECIPIENTS;EVEN_CAPACITY_SPREAD,0.0,2,OK,MANY_DISTINCT_SENDERS,0.0,2,OK,,0.00138430412096685,2,OK,,0.5404061240824419,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,0.8310846565155953,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.8310846565155953,False,False,0.0,9391
ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z,,0,INSUFFICIENT_EVIDENCE,,0.5625,2,OK,SINGLE_LOCK_SCRIPT,0.519982963724728,3,OK,FANOUT_DOMINANT_SHAPE,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.6146816974820513,2,OK,1_TO_N_SHAPE;FEW_DISTINCT_DESTINATIONS,0.6207236812650386,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,,0,INSUFFICIENT_EVIDENCE,HIGH_INTERVAL_VARIANCE,0.0,1,OK,,ROUND_TRIP,0.6207236812650386,False,False,0.0,4
ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q245y9mqs3e4l6ycsv4amhgzhzd85ewf59amlnmqmur37uda2c8fuyf2j6v,,0,INSUFFICIENT_EVIDENCE,,0.375,1,OK,SINGLE_LOCK_SCRIPT,0.3474269140880903,3,OK,,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.40978779832136747,2,OK,FEW_DISTINCT_DESTINATIONS,0.6666666666666666,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,,0,INSUFFICIENT_EVIDENCE,HIGH_INTERVAL_VARIANCE,0.0,1,OK,,ROUND_TRIP,0.6666666666666666,False,False,0.0,4
ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qd8fdu5vu3fwqfjkscg6umfxczuyh7dd29nwexznhftzvr0znpzygrdjjm7,0.13130630818069924,3,OK,,0.30000000000000004,2,OK,SINGLE_LOCK_SCRIPT,0.25260385334452456,3,OK,,0.06397076563523611,2,OK,,0.0819575596642735,2,OK,FEW_DISTINCT_SOURCES,0.327830238657094,2,OK,FEW_DISTINCT_DESTINATIONS,0.5383801909437289,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,0.5867785096829985,4,OK,HIGH_INTERVAL_VARIANCE;MIXED_TX_SHAPES,0.0,1,OK,,IRREGULAR_ACTIVITY,0.5867785096829985,False,False,0.0,10
