address,collection_state,evidence_state,attempt_count,last_attempt_at,last_successful_stage,last_error,last_error_type,last_http_status,failure_scope,sampling_stratum,lifetime_tx_count,failure_category,recommendation
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq88k0gf2lakdjuntl04ux2mjyalezj598vqnuj2y,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T20:53:22.339301+00:00,FEATURES_EXPORTED,maximum collection attempts exhausted,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02u38k4kh65ek037y6ladw8h387u78pcs8gc8lh,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T23:11:14.417980+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02u38k4kh65ek037y6ladw8h387u78pcs8gc8lh: The read operation timed out,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04g3rjkkuz8j03d526wv5rvjejfelf7lgxecnta,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T23:13:00.097838+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04g3rjkkuz8j03d526wv5rvjejfelf7lgxecnta: The read operation timed out,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07ky0r9mzffqwrv5ah6p8h9z47lg2p3acrhyltk,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T23:14:44.519883+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07ky0r9mzffqwrv5ah6p8h9z47lg2p3acrhyltk: The read operation timed out,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07r6d4agdqwld880vzslwy3aj28mh3axq7pjrfc,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T23:16:29.844956+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07r6d4agdqwld880vzslwy3aj28mh3axq7pjrfc: The read operation timed out,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07zh8qks3jgz4rzfnnvz6l3669qm0nrugucl40c,FAILED_RETRY_EXHAUSTED,PARTIAL,3,2026-08-31T23:18:15.173538+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07zh8qks3jgz4rzfnnvz6l3669qm0nrugucl40c: The read operation timed out,RETRY_EXHAUSTED,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0ccj0jne37a2e7g4aw9473j0wju4xx2ag7zssne,PARTIAL,PARTIAL,2,2026-08-31T23:36:25.157420+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0ccj0jne37a2e7g4aw9473j0wju4xx2ag7zssne: The read operation timed out,,,,1001-5000,1721,other,NEEDS_MANUAL_REVIEW
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0d9ma6yrsj0r83e5qhf0ja2x39ph8gc0qgkmu25,PARTIAL,PARTIAL,1,2026-08-31T23:25:49.820431+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0d9ma6yrsj0r83e5qhf0ja2x39ph8gc0qgkmu25: The read operation timed out,,,,unknown,,other,NEEDS_MANUAL_REVIEW
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0dtptjfpdqwdy4u8uukg2msx5l7vhwt4q2t2k08,PARTIAL,PARTIAL,1,2026-08-31T23:27:35.366642+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0dtptjfpdqwdy4u8uukg2msx5l7vhwt4q2t2k08: The read operation timed out,,,,unknown,,other,NEEDS_MANUAL_REVIEW
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0g3k445dzghlxz0m6yrttx4jl985mkj0s0mpzw4,PARTIAL,PARTIAL,1,2026-08-31T23:30:58.053114+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0g3k445dzghlxz0m6yrttx4jl985mkj0s0mpzw4: The read operation timed out,,,,unknown,,other,NEEDS_MANUAL_REVIEW
