row_id,wallet,canonical_lock_hash,sampling_stratum,lifetime_tx_count,legacy_proxy_label,collection_state,evidence_state,observation_window_id
0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul,,5000+,162862,bot_like,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
1,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqf352eynr4y9zl66sdxjcef3a6z9uqhkncsaanyg,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
2,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
3,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqty5egmnlvtn3p92d5w4nt07g6fn7564dcyz5qggqcgqusq29srmq,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
4,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqv59f6lmp36qjwxty6pgjy454hms4cz9xrkpsqggqcgqusqm5y56x,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
5,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqw37myuwmsdzkn58rnun5rd9gztrhr4u2gyz5qggqcgqusqj0ljyf,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
6,ckb1qpzuzykljldwecnuftaq9vjtzhmygqaal4z6ktsw3rylk23y09436q2q6uls60zkrl92uvcw40qrpkxed2ws4umdp3g3fzpktz34pju78wjsqqqqzqqqqqraqqqqp8gqqqqx6qqqqqgqqqqqxqqqqqr9qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx5qqqqqsqqqqqvqqqqqrzqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq04v8fa,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
7,ckb1qpzuzykljldwecnuftaq9vjtzhmygqaal4z6ktsw3rylk23y09436q2q6uls60zkrl92uvcw40qrpkxed2ws4umdp3g3fzpktz34pju78wjsqqqqzqqqqqraqqqqp8gqqqqx6qqqqqgqqqqqxqqqqqr9qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx5qqqqqsqqqqqvqqqqqrzqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq04v8fa	unusually long (380 chars) -- likely not a real wallet,,unknown,,,FAILED_INVALID_ADDRESS,UNRESOLVED,ckb-mainnet-30d-2026-08-31-v1
8,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqf4mptuftgkyj3u42mdwj9583pdfzvl6u5cg4qnx88s32fzxpeldkc9daejv92lx2qqqqqqqqqqqqqqqqqqqqqqqqqqqvqsqfnz866tkgcqqqqqqqqqqqqqphzrf9lmyqgqqqqqqqqqqqqqqqq7czxzj,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
9,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqf4mptuftgkyj3u42mdwj9583pdfzvl6u5cg4qnx88s32fzxpeldkc9daejv92lx2qqqqqqqqqqqqqqqqqqqqqqqqqqqvqsqfnz866tkgcqqqqqqqqqqqqqphzrf9lmyqgqqqqqqqqqqqqqqqq7czxzj	unusually long (209 chars) -- likely not a real wallet,,unknown,,,FAILED_INVALID_ADDRESS,UNRESOLVED,ckb-mainnet-30d-2026-08-31-v1
10,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqgdjw8y6xzkzv47j8ty8n5usdan0d09huac96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqkqp7c7na9kqqqqqqqqqqqqqqqpwxz9f577qqqqqqqqqqqqqqqqqq92vjjw,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
11,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqge9ss9azp978mspmy3f0sf9gt43myp6n9c96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqkakue2zp72qsqqqqqqqqqqqqqp7hvh4tpwpcqqqqqqqqqqqqqqqqnlkyk5,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
