capacity__mean_target_input_capacity_shannon,capacity__mean_target_output_capacity_shannon,capacity__median_abs_target_delta_shannon,capacity__target_input_capacity_shannon,capacity__target_net_capacity_delta_shannon,capacity__target_output_capacity_shannon,rule__BATCH_DISTRIBUTION__score,rule__FAN_IN_COLLECTION__score,rule__PERIODIC_EXECUTION__score,scripts__cells_with_full_script,scripts__total_cells,templates__dominant_template_ratio,templates__template_entropy,templates__template_repeat_ratio,templates__template_transition_entropy,templates__unique_template_count,temporal__active_hour_entropy,temporal__active_weekday_entropy,temporal__burstiness,temporal__dominant_period_seconds,temporal__interarrival_cv,temporal__interarrival_mean_seconds,temporal__interarrival_median_seconds,temporal__interarrival_std_seconds,temporal__interval_repeat_ratio,temporal__n_observed_transactions,temporal__periodicity_strength,temporal__phase_stability,topology__cell_consolidation_ratio,topology__cell_fragmentation_ratio,topology__fanin_transaction_ratio,topology__fanout_transaction_ratio,topology__many_to_many_ratio,topology__max_input_cells_per_tx,topology__max_output_cells_per_tx,topology__mean_external_input_locks,topology__mean_external_output_locks,topology__mean_input_cells_per_tx,topology__mean_output_cells_per_tx,topology__topology_entropy,topology__topology_repeat_ratio,transaction_count_30d
24300000000,24300000000,0,218700000000,0,218700000000,0.6666666666666666,1.0,0.0,48,94,0.1111111111111111,3.169925001442312,0.0,3.0,9,0.4100284240997427,0.43613810130875313,0.2680043387636686,1115.5,1.7322566319888089,36923.375,1115.5,63960.76121915979,0.0,9,0.38560725438545346,0.40976882879931525,0.0,0.2222222222222222,1.0,1.0,1.0,6,6,3.111111111111111,3.111111111111111,5.111111111111111,5.333333333333333,0.7725068857142602,0.6666666666666666,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,714664537783.5333,461699895069,0,10719968066753,10719968066753,0.3333333333333333,0.3333333333333333,0.0,51,111,0.13333333333333333,3.773557262275186,0.13333333333333333,3.807354922057604,14,0.6666498933524965,0.7360123513696335,0.1162590291350091,75513.5,1.2631065730068318,179799.2142857143,75513.5,227105.56938574958,0.0,15,0.3735791936545942,0.23937793816985944,0.0,0.0,0.8666666666666667,0.0,0.8666666666666667,3,9,1.9333333333333333,3.3333333333333335,2.8666666666666667,4.533333333333333,0.8534897229796914,0.4,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600000000,10600000000,21200000000.0,21200000000,0,21200000000,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
