address,collection_state,evidence_state,attempt_count,last_attempt_at,last_successful_stage,last_error,last_error_type,last_http_status,failure_scope,sampling_stratum,lifetime_tx_count
ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul,COMPLETE,SUPPORTED,0,,,,,,,5000+,162862
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqf352eynr4y9zl66sdxjcef3a6z9uqhkncsaanyg,COMPLETE,INSUFFICIENT_EVIDENCE,1,2026-08-31T19:23:16.739685+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq,COMPLETE,SUPPORTED,1,2026-08-31T19:23:20.679487+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqty5egmnlvtn3p92d5w4nt07g6fn7564dcyz5qggqcgqusq29srmq,COMPLETE,INSUFFICIENT_EVIDENCE,1,2026-08-31T19:23:24.496346+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqv59f6lmp36qjwxty6pgjy454hms4cz9xrkpsqggqcgqusqm5y56x,COMPLETE,INSUFFICIENT_EVIDENCE,1,2026-08-31T19:23:28.116092+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqw37myuwmsdzkn58rnun5rd9gztrhr4u2gyz5qggqcgqusqj0ljyf,COMPLETE,INSUFFICIENT_EVIDENCE,1,2026-08-31T19:23:30.245718+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpzuzykljldwecnuftaq9vjtzhmygqaal4z6ktsw3rylk23y09436q2q6uls60zkrl92uvcw40qrpkxed2ws4umdp3g3fzpktz34pju78wjsqqqqzqqqqqraqqqqp8gqqqqx6qqqqqgqqqqqxqqqqqr9qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx5qqqqqsqqqqqvqqqqqrzqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq04v8fa,COMPLETE,INSUFFICIENT_EVIDENCE,1,2026-08-31T19:23:33.188941+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qpzuzykljldwecnuftaq9vjtzhmygqaal4z6ktsw3rylk23y09436q2q6uls60zkrl92uvcw40qrpkxed2ws4umdp3g3fzpktz34pju78wjsqqqqzqqqqqraqqqqp8gqqqqx6qqqqqgqqqqqxqqqqqr9qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx5qqqqqsqqqqqvqqqqqrzqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq04v8fa	unusually long (380 chars) -- likely not a real wallet,FAILED_INVALID_ADDRESS,UNRESOLVED,3,2026-09-01T19:43:20.895966+00:00,SCHEDULED,"invalid frozen wallet address: contains whitespace, control characters, or wrong prefix",INVALID_ADDRESS,,WALLET,unknown,
ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqf4mptuftgkyj3u42mdwj9583pdfzvl6u5cg4qnx88s32fzxpeldkc9daejv92lx2qqqqqqqqqqqqqqqqqqqqqqqqqqqvqsqfnz866tkgcqqqqqqqqqqqqqphzrf9lmyqgqqqqqqqqqqqqqqqq7czxzj,COMPLETE,PARTIAL,1,2026-08-31T19:23:39.283202+00:00,FEATURES_EXPORTED,,,,,unknown,
ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqf4mptuftgkyj3u42mdwj9583pdfzvl6u5cg4qnx88s32fzxpeldkc9daejv92lx2qqqqqqqqqqqqqqqqqqqqqqqqqqqvqsqfnz866tkgcqqqqqqqqqqqqqphzrf9lmyqgqqqqqqqqqqqqqqqq7czxzj	unusually long (209 chars) -- likely not a real wallet,FAILED_INVALID_ADDRESS,UNRESOLVED,3,2026-09-01T19:43:41.504470+00:00,SCHEDULED,"invalid frozen wallet address: contains whitespace, control characters, or wrong prefix",INVALID_ADDRESS,,WALLET,unknown,
