component,evidence_artifact,rank,score,tail,wallet
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-2.341116872354603,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pnp7gglp8clvahem5mpf7wmr0pjk5krgf4lwf2
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-2.3060441057198524,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt2e7jpk20nyyyuwdqmvqk427ql2593nugpqd4pp
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-2.2956315138820993,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgulzg2h44865y9svyw7s5390npefh3x9qrr8hc9
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-2.2320554399822816,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgkfv8pzr5d26zcapqrd58ksc65w0qv8qqqp6xtc
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-2.0444919612254844,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqteuhr80vfws6en6ju03huzvp3xh9z0juqelhgxu
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,4.950183180988185,UPPER,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,4.321532696520217,UPPER,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,4.064235858895678,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw6hjwylgj9pw0ae8pw0ctke60jpqw6f6slep8r3
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,3.5504534502444187,UPPER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,3.3889275567487305,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqda5zj9fpg255n7vz04eqkzlles8z72susenvew6
