absolute_loading_contribution,component,dominant_family,family,single_family_dominance
0.3849247163962958,PC1,lifecycle,capacity,False
0.39180482518622295,PC1,lifecycle,lifecycle,False
0.2232704584174813,PC1,lifecycle,lineage,False
0.48803685334576113,PC2,capacity,capacity,False
0.2291318827936132,PC2,capacity,lifecycle,False
0.28283126386062557,PC2,capacity,lineage,False
0.43860841964920877,PC3,capacity,capacity,False
0.33521881996728153,PC3,capacity,lifecycle,False
0.2261727603835096,PC3,capacity,lineage,False
0.33767087057679107,PC4,lifecycle,capacity,False
0.36387295541339987,PC4,lifecycle,lifecycle,False
0.2984561740098092,PC4,lifecycle,lineage,False
0.4868494092280198,PC5,capacity,capacity,False
0.30625820327889824,PC5,capacity,lifecycle,False
0.20689238749308217,PC5,capacity,lineage,False
0.39072376785860935,PC6,capacity,capacity,False
0.3046627893889998,PC6,capacity,lifecycle,False
0.30461344275239094,PC6,capacity,lineage,False
0.5843939843188144,PC7,capacity,capacity,False
0.2550787918940635,PC7,capacity,lifecycle,False
0.16052722378712234,PC7,capacity,lineage,False
0.3507655427854579,PC8,lifecycle,capacity,False
0.3849468661694486,PC8,lifecycle,lifecycle,False
0.2642875910450934,PC8,lifecycle,lineage,False
0.2616693195789781,PC9,lifecycle,capacity,False
0.3768731516159067,PC9,lifecycle,lifecycle,False
0.3614575288051151,PC9,lifecycle,lineage,False
0.5469086389878717,PC10,capacity,capacity,False
0.16538429652473102,PC10,capacity,lifecycle,False
0.2877070644873972,PC10,capacity,lineage,False
0.36861709771791856,PC11,capacity,capacity,False
0.3020458775539512,PC11,capacity,lifecycle,False
0.3293370247281301,PC11,capacity,lineage,False
0.2525901091670625,PC12,lifecycle,capacity,False
0.3945996195776931,PC12,lifecycle,lifecycle,False
0.3528102712552444,PC12,lifecycle,lineage,False
0.27162965318276916,PC13,lifecycle,capacity,False
0.3785420281134042,PC13,lifecycle,lifecycle,False
0.34982831870382664,PC13,lifecycle,lineage,False
0.2993844282597273,PC14,lineage,capacity,False
0.2818304662141148,PC14,lineage,lifecycle,False
0.41878510552615794,PC14,lineage,lineage,False
0.5251359207368846,PC15,capacity,capacity,False
0.09990170766098028,PC15,capacity,lifecycle,False
0.374962371602135,PC15,capacity,lineage,False
0.3786744529492832,PC16,lineage,capacity,False
0.18586100639981804,PC16,lineage,lifecycle,False
0.43546454065089873,PC16,lineage,lineage,False
0.852570624089147,PC17,capacity,capacity,True
0.05355853344651494,PC17,capacity,lifecycle,True
0.09387084246433816,PC17,capacity,lineage,True
0.8713459474418144,PC18,capacity,capacity,True
0.1021664701634755,PC18,capacity,lifecycle,True
0.026487582394710146,PC18,capacity,lineage,True
