component,cumulative_explained_variance,eigenvalue,explained_variance_ratio,families_represented,strongest_negative_loadings,strongest_positive_loadings
PC1,0.20664953632369476,2.766385904974027,0.20664953632369476,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lifecycle__short_lived_cell_ratio"": -0.5052962052672121}, {""capacity__capacity_output_entropy"": -0.3150242711019395}, {""capacity__capacity_input_entropy"": -0.31378566090309884}]","[{""lifecycle__long_lived_cell_ratio"": 0.5029364786985352}, {""lineage__continuation_count"": 0.289397360615857}, {""lineage__lineage_depth"": 0.2803056827094119}]"
PC2,0.3664458367557742,2.1391687639204853,0.15979630043207943,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lineage__lineage_repetition"": -0.42384845707582763}, {""lifecycle__consumed_cell_count"": -0.33185163574534954}, {""lineage__merge_count"": -0.2713923234023244}]","[{""capacity__capacity_output_entropy"": 0.4092336160784123}, {""capacity__capacity_input_entropy"": 0.39479886271099124}, {""capacity__output_capacity_mean"": 0.24263869834842153}]"
PC3,0.5028945777134544,1.8266185371232184,0.1364487409576802,"[""capacity"", ""lifecycle"", ""lineage""]","[{""capacity__capacity_repeat_ratio"": -0.4734650182478763}, {""lifecycle__rapid_consumption_ratio"": -0.3438577849583477}, {""lifecycle__short_lived_cell_ratio"": -0.2649889849488947}]","[{""capacity__capacity_input_entropy"": 0.399848594406167}, {""capacity__capacity_output_entropy"": 0.38115540701399925}, {""lifecycle__consumed_cell_count"": 0.2715979279810903}]"
PC4,0.6201082244389452,1.5691212568901511,0.11721364672549084,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lifecycle__same_block_consumption_ratio"": -0.4675251413466318}, {""lifecycle__rapid_consumption_ratio"": -0.37797081533384586}, {""lifecycle__consumed_cell_count"": -0.3448270651456376}]","[{""capacity__target_net_capacity_delta"": 0.14992309967510936}, {""lifecycle__long_lived_cell_ratio"": 0.04795737130559555}, {""capacity__capacity_input_entropy"": -0.05967304021108185}]"
PC5,0.6929306228877827,0.9748623694935791,0.0728223984488375,"[""capacity"", ""lifecycle"", ""lineage""]","[{""capacity__capacity_repeat_ratio"": -0.43722360324199977}, {""capacity__target_net_capacity_delta"": -0.36321131443055044}, {""capacity__target_consumed_capacity"": -0.28149925895788963}]","[{""lifecycle__same_block_consumption_ratio"": 0.5833602580971549}, {""lifecycle__rapid_consumption_ratio"": 0.14257719473448227}, {""lineage__branch_count"": 0.1357345101332411}]"
PC6,0.7569551450602555,0.8570865382112036,0.06402452217247283,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lineage__lineage_repetition"": -0.3136761541445639}, {""capacity__capacity_repeat_ratio"": -0.15725794124556758}, {""lifecycle__short_lived_cell_ratio"": -0.1494606050781269}]","[{""capacity__target_net_capacity_delta"": 0.7028317249640517}, {""lineage__merge_count"": 0.35405160848691125}, {""lifecycle__rapid_consumption_ratio"": 0.3408481147916102}]"
PC7,0.8183782524505339,0.8222617942776802,0.06142310739027831,"[""capacity"", ""lifecycle"", ""lineage""]","[{""capacity__target_consumed_capacity"": -0.3487418232339517}, {""capacity__output_capacity_mean"": -0.34103650116657713}, {""lifecycle__rapid_consumption_ratio"": -0.293668834522889}]","[{""capacity__capacity_repeat_ratio"": 0.594276061733252}, {""lifecycle__same_block_consumption_ratio"": 0.35817107091768857}, {""capacity__capacity_output_entropy"": 0.21691781253069004}]"
PC8,0.8673708214950817,0.6558560685130541,0.04899256904454785,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lifecycle__rapid_consumption_ratio"": -0.5956152407103948}, {""lineage__lineage_repetition"": -0.39707502059315747}, {""lifecycle__long_lived_cell_ratio"": -0.26938956517338725}]","[{""lifecycle__same_block_consumption_ratio"": 0.28880236851682567}, {""capacity__target_consumed_capacity"": 0.26706526054271884}, {""capacity__output_capacity_mean"": 0.22328453353421146}]"
PC9,0.9061921230232983,0.5196948576365668,0.038821301528216605,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lineage__lineage_repetition"": -0.5704652896240411}, {""capacity__target_net_capacity_delta"": -0.40207222032103196}, {""lifecycle__same_block_consumption_ratio"": -0.3430955799030943}]","[{""lifecycle__consumed_cell_count"": 0.33928376565391055}, {""lifecycle__rapid_consumption_ratio"": 0.31001784136344396}, {""lineage__merge_count"": 0.28260384287761364}]"
PC10,0.9315968398355515,0.3400890791218078,0.025404716812253193,"[""capacity"", ""lifecycle"", ""lineage""]","[{""lineage__lineage_depth"": -0.45583929208126056}, {""capacity__target_consumed_capacity"": -0.25299677547047505}, {""capacity__output_capacity_mean"": -0.23791658591457637}]","[{""capacity__input_capacity_cv"": 0.5168738918692718}, {""capacity__output_capacity_cv"": 0.4964337504243164}, {""lifecycle__short_lived_cell_ratio"": 0.2237895201267656}]"
