feature,raw_value,scaled_value,transformed_value,wallet
capacity__capacity_input_entropy,0.0,-6.91330175501276,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__capacity_output_entropy,0.0,-6.116548162021618,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__capacity_repeat_ratio,1.0,0.6699777269181171,1.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__input_capacity_cv,0.0,-0.6198641735842243,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__output_capacity_cv,0.0,-0.5654207592562853,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__output_capacity_mean,24300000000.0,-0.5474396474672669,23.913742187334066,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__target_consumed_capacity,218700000000.0,-0.8327906834511432,26.110966764633705,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__target_net_capacity_delta,0.0,0.0,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lifecycle__consumed_cell_count,9.0,-0.3800273544238809,2.302585092994046,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lifecycle__long_lived_cell_ratio,0.4444444444444444,0.5005728835158442,0.4444444444444444,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lifecycle__rapid_consumption_ratio,0.3333333333333333,1.0764709159433852,0.3333333333333333,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lifecycle__same_block_consumption_ratio,0.0,-0.12417673204222084,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lifecycle__short_lived_cell_ratio,0.4444444444444444,-0.22534512046165683,0.4444444444444444,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__branch_count,39.0,0.11137996036522542,3.6888794541139363,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__continuation_count,9.0,1.1832946624549385,2.302585092994046,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__lineage_depth,5.0,0.47853904401797076,1.791759469228055,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__lineage_repetition,0.8888888888888888,0.054844133305721306,0.8888888888888888,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__merge_count,9.0,0.0,2.302585092994046,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__capacity_input_entropy,0.9253390270347649,-0.12148678574353869,0.6551020701729414,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__capacity_output_entropy,0.9175870957317059,-0.11957695485821991,0.6510676747305943,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__capacity_repeat_ratio,0.9402985074626866,0.4372194126722192,0.9402985074626866,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__input_capacity_cv,1.6672400497406914,1.3527806461042557,0.9810442485512881,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__output_capacity_cv,1.5702496594529158,1.244145359435516,0.9440030379449778,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__output_capacity_mean,2211268041423.2656,0.2921592173423211,28.424587241312736,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__target_consumed_capacity,141725854533945.0,0.4467925392457819,32.58491570564232,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__target_net_capacity_delta,-204699882856.0,-1.0587060032266387,-26.04481075734676,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lifecycle__consumed_cell_count,60.0,1.0820873080702968,4.110873864173311,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lifecycle__long_lived_cell_ratio,0.16666666666666666,-0.30020432044813344,0.16666666666666666,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lifecycle__rapid_consumption_ratio,0.5833333333333334,2.307321958187739,0.5833333333333334,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lifecycle__same_block_consumption_ratio,0.25,10.860142193749656,0.25,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lifecycle__short_lived_cell_ratio,0.6333333333333333,0.22123431369929142,0.6333333333333333,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lineage__branch_count,132.0,0.6363847216988322,4.890349128221754,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lineage__continuation_count,30.0,1.764720332103851,3.4339872044851463,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lineage__lineage_depth,30.0,2.4167331691708607,3.4339872044851463,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lineage__lineage_repetition,0.8857142857142857,0.04008262771995452,0.8857142857142857,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
lineage__merge_count,51.0,0.8051298469539572,3.9512437185814275,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
capacity__capacity_input_entropy,1.0,0.2729484664084483,0.6931471805599453,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z
capacity__capacity_output_entropy,1.0,0.2680165237685631,0.6931471805599453,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z
