component,cumulative_explained_variance,eigenvalue,explained_variance_ratio
PC1,0.3923934770945892,4.475142098134043,0.3923934770945892
PC2,0.5803441105396125,2.143526437617181,0.18795063344502327
PC3,0.7237489284652222,1.6354933892528574,0.14340481792560966
PC4,0.8038002756648578,0.9129640903257868,0.08005134719963562
PC5,0.8673747327138283,0.7250495885212697,0.06357445704897044
PC6,0.9052349495008034,0.43178559246802073,0.0378602167869752
PC7,0.9370823857596051,0.3632114472816483,0.0318474362588017
PC8,0.9679882570090199,0.35247315152088193,0.030905871249414827
PC9,0.9904261192009334,0.25589778512795464,0.022437862191913474
PC10,0.9999999999999999,0.10918753625481831,0.009573880799066499
