component,evidence_artifact,rank,score,tail,wallet
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-7.703772677086415,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf2pf3uu524tn9umy7g3gchaa6sgamvs4sx454l6
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-7.412855918112032,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtcz03jau3958a7esc84ygpk8vj8ad0njcym245u
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-6.870958017128404,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdh26mj0xls204ndg9lsdptdz0zu0jdmycngh5ht
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-6.618321525447568,LOWER,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-6.175534146602101,LOWER,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,3.908308838571852,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfu77q0whtmthcu45dm9l326da8rasmh6g8t7pw9
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,3.9070666253014696,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20gymh8hj0295y4sexft6t8u07c87txyg4y75m0
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,3.9065936040712113,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwclc88er2n8s5d5cscywyshz8r3rwr9qla2lgd
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,3.9064947171364084,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qq5zmvacvrht6g5w35hgdg4mhcxcu5hgu2f8qe
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,3.9062306875765738,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9zt77ljsy79v237ska0mgf4zd50avq0cdx0vpw
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-4.892929184119104,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf2pf3uu524tn9umy7g3gchaa6sgamvs4sx454l6
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-4.667750717425975,LOWER,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-4.592489500897963,LOWER,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-4.0203571608417645,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfrlamn0mk353jsutukulxcxyf8je85wwg5l5nnv
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-3.922430124765782,LOWER,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,2.234756603612625,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtq43kkkjp78arrz5dk9yazecfynnduu5qz9nfxd
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,2.095140724869976,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw20ylwscm8q35fdgh6vvl0mjpmg4p3macchmmr6
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,2.0386185310807887,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtg608sukx6zv02svdu0hm3304fxhfrfzqvaphhu
