component,cumulative_explained_variance,eigenvalue,explained_variance_ratio,families_represented,strongest_negative_loadings,strongest_positive_loadings
PC1,0.3923934770945892,4.475142098134043,0.3923934770945892,"[""capacity"", ""lineage"", ""scripts""]","[{""capacity__target_consumed_capacity"": -0.5965667737722913}, {""lineage__lineage_depth"": -0.546601885813084}, {""lineage__continuation_count"": -0.4109802099998214}]","[{""capacity__target_net_capacity_delta"": 0.06903811785029686}, {""scripts__type_family_count"": -0.006261122710816262}, {""scripts__unique_lock_script_count"": -0.05699259267002876}]"
PC2,0.5803441105396125,2.143526437617181,0.18795063344502327,"[""capacity"", ""lineage"", ""scripts""]","[{""lineage__lineage_depth"": -0.3999803118231887}, {""lineage__continuation_count"": -0.39621958653958456}, {""lineage__lineage_repetition"": -0.27207221528671255}]","[{""capacity__target_consumed_capacity"": 0.6813762724082781}, {""capacity__capacity_repeat_ratio"": 0.24060288024241505}, {""scripts__type_family_count"": 0.030307420021221915}]"
PC3,0.7237489284652222,1.6354933892528574,0.14340481792560966,"[""capacity"", ""lineage"", ""scripts""]","[{""lineage__lineage_repetition"": -0.4571697018061404}, {""scripts__unique_lock_script_count"": -0.3720587393306382}, {""lineage__merge_count"": -0.3676675868357161}]","[{""scripts__type_family_count"": 0.5187690688816364}, {""lineage__continuation_count"": 0.33488160226144115}, {""scripts__unique_type_script_count"": 0.33109992381954206}]"
PC4,0.8038002756648578,0.9129640903257868,0.08005134719963562,"[""capacity"", ""lineage"", ""scripts""]","[{""lineage__continuation_count"": -0.23166200491466607}, {""lineage__lineage_depth"": -0.17282347798353503}, {""capacity__target_net_capacity_delta"": -0.026723021330575112}]","[{""scripts__type_family_count"": 0.7351404024322497}, {""lineage__lineage_repetition"": 0.32822287949667783}, {""lineage__merge_count"": 0.30827409886887486}]"
PC5,0.8673747327138283,0.7250495885212697,0.06357445704897044,"[""capacity"", ""lineage"", ""scripts""]","[{""capacity__capacity_repeat_ratio"": -0.7106143437820583}, {""lineage__lineage_depth"": -0.31424537979482076}, {""capacity__target_net_capacity_delta"": -0.19850688463056088}]","[{""lineage__continuation_count"": 0.449507863330424}, {""capacity__target_consumed_capacity"": 0.3057326742719296}, {""scripts__unique_lock_script_count"": 0.18933170719150957}]"
PC6,0.9052349495008034,0.43178559246802073,0.0378602167869752,"[""capacity"", ""lineage"", ""scripts""]","[{""lineage__merge_count"": -0.7596521034922915}, {""capacity__target_net_capacity_delta"": -0.11220979341131701}, {""lineage__lineage_depth"": -0.07112305951381563}]","[{""lineage__lineage_repetition"": 0.6232170613104442}, {""lineage__continuation_count"": 0.10110502269107989}, {""scripts__unique_lock_script_count"": 0.07657498120473895}]"
PC7,0.9370823857596051,0.3632114472816483,0.0318474362588017,"[""capacity"", ""lineage"", ""scripts""]","[{""scripts__unique_type_script_count"": -0.7057267244742157}, {""capacity__capacity_repeat_ratio"": -0.3780933481262688}, {""lineage__continuation_count"": -0.17796121862833095}]","[{""scripts__type_family_count"": 0.38523679690925333}, {""lineage__lineage_depth"": 0.38064830982304615}, {""capacity__target_consumed_capacity"": 0.08147504863451961}]"
PC8,0.9679882570090199,0.35247315152088193,0.030905871249414827,"[""capacity"", ""lineage"", ""scripts""]","[{""lineage__lineage_repetition"": -0.3672251098839962}, {""lineage__merge_count"": -0.28911855991838376}, {""lineage__continuation_count"": -0.2865720722796116}]","[{""scripts__unique_lock_script_count"": 0.6762777982118446}, {""lineage__lineage_depth"": 0.40491807798170765}, {""scripts__unique_type_script_count"": 0.20532372160632167}]"
PC9,0.9904261192009334,0.25589778512795464,0.022437862191913474,"[""capacity"", ""lineage"", ""scripts""]","[{""scripts__unique_type_script_count"": -0.4972113214044976}, {""lineage__lineage_depth"": -0.2958028746022769}, {""lineage__lineage_repetition"": -0.18516025069029907}]","[{""scripts__unique_lock_script_count"": 0.4733501998023022}, {""lineage__continuation_count"": 0.4268563583278131}, {""capacity__capacity_repeat_ratio"": 0.4108416967904049}]"
PC10,0.9999999999999999,0.10918753625481831,0.009573880799066499,"[""capacity"", ""lineage"", ""scripts""]","[{""capacity__target_net_capacity_delta"": -0.9467862815235076}, {""capacity__target_consumed_capacity"": -0.21311821616825416}, {""scripts__unique_lock_script_count"": -0.11735321583758974}]","[{""capacity__capacity_repeat_ratio"": 0.15263060110337232}, {""lineage__merge_count"": 0.13655463796913972}, {""lineage__lineage_repetition"": 0.016949645095957273}]"
