feature,raw_value,scaled_value,transformed_value,wallet
capacity__capacity_repeat_ratio,1.0,0.9020803841920981,1.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__target_consumed_capacity,218700000000.0,-0.28018124584323956,26.110966764633705,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__target_net_capacity_delta,0.0,0.0,0.0,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__continuation_count,9.0,3.3219280948873626,2.302585092994046,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__lineage_depth,5.0,1.709511291351454,1.791759469228055,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__lineage_repetition,0.8888888888888888,0.7881571717339927,0.8888888888888888,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
lineage__merge_count,9.0,0.8004726398431626,2.302585092994046,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
scripts__type_family_count,1.0,1.9951397255009098,0.6931471805599453,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
scripts__unique_lock_script_count,22.0,1.0726169119725726,3.1354942159291497,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
scripts__unique_type_script_count,7.0,3.0,2.0794415416798357,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
capacity__capacity_repeat_ratio,0.0,-1.3489727248167438,0.0,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq
capacity__target_consumed_capacity,0.0,-4.044635599832544,0.0,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq
