audit_classification,definition,family,missing_semantics,predictor,reason_retained,recommended_transform,support_requirement,transformation_reason,unit
USABLE,Capacity repeat ratio calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__capacity_repeat_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled input and output Cells""",Bounded dimensionless value; preserve its domain.,ratio
USABLE,Target consumed capacity calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__target_consumed_capacity,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled input and output Cells""",Non-negative magnitude/count is potentially heavy-tailed.,shannon
USABLE,Target net capacity delta calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__target_net_capacity_delta,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled input and output Cells""",Non-negative magnitude/count is potentially heavy-tailed.,shannon
USABLE,Continuation count calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__continuation_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Lineage depth calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__lineage_depth,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Lineage repetition calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__lineage_repetition,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Bounded dimensionless value; preserve its domain.,ratio
USABLE,Merge count calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__merge_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Type family count calculated by the scripts V2 extractor.,scripts,NOT_SUPPORTED_OR_NOT_OBSERVED,scripts__type_family_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""lock/type script slots on participating Cells""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Unique lock script count calculated by the scripts V2 extractor.,scripts,NOT_SUPPORTED_OR_NOT_OBSERVED,scripts__unique_lock_script_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""lock/type script slots on participating Cells""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Unique type script count calculated by the scripts V2 extractor.,scripts,NOT_SUPPORTED_OR_NOT_OBSERVED,scripts__unique_type_script_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""lock/type script slots on participating Cells""",Non-negative magnitude/count is potentially heavy-tailed.,count
