component,cumulative_explained_variance,eigenvalue,explained_variance_ratio
PC1,0.7283362965219764,67.20499500668856,0.7283362965219764
PC2,0.78358753135428,5.098138015021068,0.05525123483230366
PC3,0.8306657864666738,4.344001410969868,0.047078255112393774
PC4,0.8612020101735159,2.8176362643757527,0.030536223706842155
PC5,0.8878479207816645,2.4586695705275234,0.026645910608148575
PC6,0.9085026858622094,1.9058550160563894,0.020654765080544858
PC7,0.9257517624120539,1.591605565914996,0.01724907654984456
PC8,0.938343425437193,1.1618570360578495,0.012591663025139045
PC9,0.9474721345755918,0.8423236010524633,0.009128709138398833
PC10,0.9550824605174071,0.7022194546136241,0.007610325941815291
PC11,0.961795136532537,0.6193915643536942,0.006712676015129901
PC12,0.9672954435706997,0.5075239402459518,0.005500307038162688
PC13,0.9720027535983858,0.43435257643517977,0.004707310027686072
PC14,0.9761640898070787,0.3839745189987484,0.004161336208692855
PC15,0.9797112666181356,0.32730484669416343,0.0035471768110568974
PC16,0.9830154067188656,0.3048793806258689,0.003304140100730004
PC17,0.9855373877071378,0.23270805057109725,0.0025219809882722757
PC18,0.9878022174155051,0.20898020594148606,0.002264829708367264
PC19,0.9897248597163851,0.17740591378915122,0.0019226423008799824
PC20,0.991354258051797,0.15034772744153588,0.0016293983354119055
PC21,0.9927772392752905,0.1313012223558782,0.0014229812234934497
PC22,0.9940792873679072,0.12014248909553693,0.001302048092616724
PC23,0.9952947462400425,0.11215273469517194,0.0012154588721353767
PC24,0.9961407090785079,0.07805862292789656,0.0008459628384653751
PC25,0.9968657544118122,0.06690133148248503,0.0007250453333043584
PC26,0.997521121810916,0.0604720140883267,0.0006553673991037895
PC27,0.9981408020215743,0.057179088371542654,0.0006196802106582615
PC28,0.9986573235980459,0.0476604422069675,0.0005165215764716241
PC29,0.9990710950846811,0.03817949321764667,0.0004137714866351699
PC30,0.9993893796855068,0.029368734074276065,0.0003182846008256996
PC31,0.9996087639335852,0.02024300775213572,0.0002193842480784177
PC32,0.9998115159280005,0.018708317623802498,0.00020275199441531115
PC33,0.9999999999999999,0.017391788900330846,0.00018848407199938483
PC34,0.9999999999999999,1.5518738818836748e-15,1.6818483145305604e-17
