component,evidence_artifact,rank,score,tail,wallet
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-2.5079355697595838,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvjvfddqll5qztlccn06gs02ske0yc68esgdkxfp
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-2.5051112614436155,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqftm2xn4dlczysw0q2x5alw2v7ur2le8gs8h3teh
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-2.503051617934717,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv8yreznvv7falyl3sk08l74zh6aj9u9hsrpfysy
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-2.501993635859734,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfg2np57fhkdu6fuygqt3ys4rykd03gfhsu8dvd7
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-2.5007752737823927,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfj8ejt4qckvuzrtezy9nvcv7le9ur8cuqy7s5x8
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,76.98323102657531,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9q2e95dadfctdfsuq5e5na0nwh58v4jc6rkddw
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,75.52390101159145,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,44.623720182291024,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq275zthc09tdzvgzlycvrl8p5n2ea2e7as0q8aes
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,24.750345981488433,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfc63dma5fy3kywpnada5yy99tpqvl4dechg9csl
PC1,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,19.993221286031783,UPPER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8jjta82sj7lcz5ewruppmfrrvtg9nh4vvg5klxg
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-6.4228491030461985,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9q2e95dadfctdfsuq5e5na0nwh58v4jc6rkddw
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-3.72769839371675,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfsajumlzs2pjvtz0xxg42llw5px435u3gxmlwuc
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-3.526236406658271,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0c46rcy6f2qav3ddfgv2540mz6vl7knlc0pl0a0
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-3.3578864733747,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdvhzxzyqcqqu3qu548g0yfhyhkn68s0s5tlqdh
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-3.3298764036323343,LOWER,ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg90xpp8x5pye38hetcd6kdgl899qk2arfgq4ucyyu6synxy7l90ph2e4ruu55zet5d9q7s4c2a
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,8.201962759779315,UPPER,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqdc96g88lhq0ww27cjlp0j960kqvxlzyyhww4pyhk5ztgzaem7q5s6rs7mt
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,8.090694865233159,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20u0ncxwckqw79c9f9kev5mlckwsmj8psnrz4u4
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,8.081771534269798,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw0dr0ghl76nf5xkw6lx0lxm032kw2jwwq6lnmhx
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,7.9497197506206145,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwrn48zffgqgctt2netwvhcdn3pnznxceg9lhd3j
PC2,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,7.5450410820960245,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-3.8239555455918146,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdxzpng0y93mrnmxq0e73j4yu4d3n3mkuqc5r59u
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-3.693839048943166,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg4cz7lvtz6anfw0uxkrxu8d0gxcfuww2gp702wk
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-3.6578419386279806,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtyedgf3hcmvghz4cmstp7pu7u76x93apgp9rzws
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-3.6146561182015065,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtr5klxrl240p2jsldlwhd6w3dv7fjj59cp6nkwy
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-3.600392165494383,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgulzg2h44865y9svyw7s5390npefh3x9qrr8hc9
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,5.277286355009809,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2efq967zf7uw4g2nazz6mwal8ehl3yfrgn5r9vq
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,5.277286355009809,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq27hu6zh0dn2w848xsrkt3303mj79ym6fqdw7xqn
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,5.271441137091217,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg60za567aggkr4kdukm540wrujl4xn83g5sff6z
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,5.271441137091217,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg58nlmgm0f04zj3fedh4d369cpdz67s5q8n0dxm
PC3,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,5.185157260405631,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf4n5g7ce6k9gxgvs7cjc40rk8r0tqtg4qg775ha
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-4.555904841775769,LOWER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqymvu6d289ggsyudpamr4g6ayz62gpp34qzy30vs
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-4.555904841775769,LOWER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-3.6604413550130706,LOWER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-3.6604413550130706,LOWER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-3.209953167241072,LOWER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,4.600010631258271,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9q2e95dadfctdfsuq5e5na0nwh58v4jc6rkddw
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,3.417998020609264,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv8yreznvv7falyl3sk08l74zh6aj9u9hsrpfysy
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,3.2972755365104565,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfg2np57fhkdu6fuygqt3ys4rykd03gfhsu8dvd7
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,3.2140365830762874,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2da0jqygw442724a22vmvse55pez5zw4qtj3mmg
PC4,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,3.2084125541766215,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqftm2xn4dlczysw0q2x5alw2v7ur2le8gs8h3teh
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,-2.268002470723533,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02rtsalknt9nezey405ay2gek8v5x0ncc3fd62k
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,-2.267957790500474,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvyeguxz4y45vydqtdrvz6xz43tlcdc7acjhkesk
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,-2.240920848951337,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfjhl5nx82y5z2xdhwqhg34vkzta6gttgc05sfu2
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,-2.215829777117071,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwg4vuyxa8u6yekv7n3vevs5xj6mzn5rxgeudapp
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,-2.1331011295346354,LOWER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw4klymd5zxdtersxfu8wafdq803fudg7qpp9dz7
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,1,6.045286909477691,UPPER,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdjy59w688e9h3e6spw0ypv7k69nl2h6q3sma2z
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,2,5.422124803803014,UPPER,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,3,5.370207326441444,UPPER,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,4,3.9662662155748443,UPPER,ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg90xpp8x5pye38hetcd6kdgl899qk2arfgq4ucyyu6synxy7l90ph2e4ruu55zet5d9q7s4c2a
PC5,/Users/fadhil/Personal/ckb-intel/ckb_data/feature_engineering_v2/wallet_behaviour_features_v2_evidence.jsonl,5,3.8173822555638393,UPPER,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
