absolute_loading_contribution,component,dominant_family,family,single_family_dominance
0.7805425229545978,PC1,templates,templates,True
0.10932649162556644,PC1,templates,temporal,True
0.1101309854198359,PC1,templates,topology,True
0.11225083398723398,PC2,temporal,templates,True
0.6786350535098791,PC2,temporal,temporal,True
0.20911411250288695,PC2,temporal,topology,True
0.21180161739555886,PC3,temporal,templates,False
0.396334763010299,PC3,temporal,temporal,False
0.3918636195941421,PC3,temporal,topology,False
0.2450131258451585,PC4,topology,templates,False
0.20833235075019282,PC4,topology,temporal,False
0.5466545234046488,PC4,topology,topology,False
0.09604324954953192,PC5,topology,templates,False
0.3290698589460023,PC5,topology,temporal,False
0.5748868915044658,PC5,topology,topology,False
0.15472826897606332,PC6,topology,templates,False
0.412052558623049,PC6,topology,temporal,False
0.4332191724008879,PC6,topology,topology,False
0.09063530998857852,PC7,temporal,templates,False
0.5793541071194116,PC7,temporal,temporal,False
0.33001058289200974,PC7,temporal,topology,False
0.10108757886510125,PC8,topology,templates,True
0.2871034194075924,PC8,topology,temporal,True
0.6118090017273062,PC8,topology,topology,True
0.18521946354305652,PC9,topology,templates,False
0.3922395003816512,PC9,topology,temporal,False
0.42254103607529214,PC9,topology,topology,False
0.23030912323143787,PC10,topology,templates,False
0.2001827986051497,PC10,topology,temporal,False
0.5695080781634123,PC10,topology,topology,False
0.13418933544338424,PC11,topology,templates,False
0.41205513762777235,PC11,topology,temporal,False
0.4537555269288436,PC11,topology,topology,False
0.15076687457508878,PC12,temporal,templates,False
0.5205562421956166,PC12,temporal,temporal,False
0.32867688322929467,PC12,temporal,topology,False
0.19278547955175906,PC13,temporal,templates,False
0.42353871022574197,PC13,temporal,temporal,False
0.383675810222499,PC13,temporal,topology,False
0.44035205164596447,PC14,templates,templates,False
0.24710758617309483,PC14,templates,temporal,False
0.3125403621809406,PC14,templates,topology,False
0.20801790385626678,PC15,topology,templates,False
0.30585415520916787,PC15,topology,temporal,False
0.48612794093456557,PC15,topology,topology,False
0.1035299757288214,PC16,temporal,templates,True
0.6399434878678703,PC16,temporal,temporal,True
0.25652653640330836,PC16,temporal,topology,True
0.10308024725557104,PC17,temporal,templates,True
0.6878619431486599,PC17,temporal,temporal,True
0.20905780959576897,PC17,temporal,topology,True
0.3443427871918825,PC18,topology,templates,False
0.17839062572017353,PC18,topology,temporal,False
0.4772665870879439,PC18,topology,topology,False
0.20838857440422046,PC19,topology,templates,False
0.29557222795926913,PC19,topology,temporal,False
0.49603919763651044,PC19,topology,topology,False
0.21699939053078884,PC20,topology,templates,False
0.221796553447747,PC20,topology,temporal,False
0.5612040560214641,PC20,topology,topology,False
0.07874306070399795,PC21,temporal,templates,False
0.5977884030247028,PC21,temporal,temporal,False
0.3234685362712991,PC21,temporal,topology,False
0.1639416519863299,PC22,topology,templates,False
0.3757748792430605,PC22,topology,temporal,False
0.4602834687706094,PC22,topology,topology,False
0.1667725673534747,PC23,temporal,templates,False
0.5091695522193249,PC23,temporal,temporal,False
0.3240578804272003,PC23,temporal,topology,False
0.2733517832166611,PC24,temporal,templates,False
0.4517738669800051,PC24,temporal,temporal,False
0.27487434980333375,PC24,temporal,topology,False
0.17964195356350948,PC25,temporal,templates,False
0.456987201740299,PC25,temporal,temporal,False
0.3633708446961914,PC25,temporal,topology,False
0.43425904264502346,PC26,templates,templates,False
0.21962987342826443,PC26,templates,temporal,False
0.34611108392671225,PC26,templates,topology,False
0.17627825145993156,PC27,topology,templates,False
0.4003518258712817,PC27,topology,temporal,False
0.42336992266878665,PC27,topology,topology,False
0.20640566081573838,PC28,temporal,templates,False
0.5475017873523726,PC28,temporal,temporal,False
0.24609255183188877,PC28,temporal,topology,False
0.0854333110809674,PC29,temporal,templates,True
0.6134528347772875,PC29,temporal,temporal,True
0.30111385414174513,PC29,temporal,topology,True
0.16617423927036967,PC30,temporal,templates,False
0.5543872061020177,PC30,temporal,temporal,False
0.27943855462761263,PC30,temporal,topology,False
0.40447259227007026,PC31,templates,templates,False
0.22996550440346009,PC31,templates,temporal,False
0.3655619033264697,PC31,templates,topology,False
0.1647909210889862,PC32,topology,templates,True
0.16846097925171444,PC32,topology,temporal,True
0.6667480996592995,PC32,topology,topology,True
0.3274553587353936,PC33,topology,templates,False
0.13633774075789057,PC33,topology,temporal,False
0.5362069005067158,PC33,topology,topology,False
1.9718084844143826e-13,PC34,topology,templates,True
2.612984359328911e-13,PC34,topology,temporal,True
0.9999999999995417,PC34,topology,topology,True
