component,cumulative_explained_variance,eigenvalue,explained_variance_ratio,families_represented,strongest_negative_loadings,strongest_positive_loadings
PC1,0.7283362965219764,67.20499500668856,0.7283362965219764,"[""templates"", ""temporal"", ""topology""]","[{""templates__template_transition_entropy"": -0.9805490365298544}, {""templates__template_entropy"": -0.07790589129456948}, {""templates__rare_template_ratio"": -0.04897857282612169}]","[{""templates__consecutive_template_repeat_ratio"": 0.10240502963458109}, {""templates__dominant_template_ratio"": 0.06639988274724337}, {""templates__transition_repeat_ratio"": 0.06434245422526252}]"
PC2,0.78358753135428,5.098138015021068,0.05525123483230366,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_p75"": -0.5504367721360763}, {""temporal__interarrival_p90"": -0.44572148658172756}, {""temporal__interarrival_mean_seconds"": -0.42304891310061465}]","[{""temporal__interarrival_skewness"": 0.2582099332726156}, {""temporal__interarrival_kurtosis"": 0.24510380755990516}, {""templates__dominant_template_count"": 0.18931059782916804}]"
PC3,0.8306657864666738,4.344001410969868,0.047078255112393774,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_std_seconds"": -0.3689022263072178}, {""topology__topology_entropy"": -0.32542944201107077}, {""temporal__interarrival_cv"": -0.32316458965369876}]","[{""topology__dominant_topology_ratio"": 0.3101604821728382}, {""templates__rare_template_ratio"": 0.2520364627871345}, {""temporal__interarrival_p10"": 0.18723929286826133}]"
PC4,0.8612020101735159,2.8176362643757527,0.030536223706842155,"[""templates"", ""temporal"", ""topology""]","[{""topology__dominant_topology_ratio"": -0.2658701914325599}, {""templates__transition_repeat_ratio"": -0.26363405392284694}, {""templates__dominant_template_ratio"": -0.2192940431090307}]","[{""topology__many_to_one_ratio"": 0.45614125877991635}, {""topology__external_input_lock_mean"": 0.311503100060625}, {""templates__rare_template_ratio"": 0.3099576468776845}]"
PC5,0.8878479207816645,2.4586695705275234,0.026645910608148575,"[""templates"", ""temporal"", ""topology""]","[{""topology__one_to_many_ratio"": -0.29273396836129517}, {""topology__topology_entropy"": -0.23167143928421538}, {""temporal__interarrival_p75"": -0.16772942889775772}]","[{""topology__many_to_many_ratio"": 0.4824130793010818}, {""temporal__active_day_concentration"": 0.4115585458476885}, {""topology__dominant_topology_ratio"": 0.2665014529682268}]"
PC6,0.9085026858622094,1.9058550160563894,0.020654765080544858,"[""templates"", ""temporal"", ""topology""]","[{""topology__one_to_many_ratio"": -0.39863192827121546}, {""temporal__active_day_concentration"": -0.33018362931731476}, {""templates__rare_template_ratio"": -0.26562618572391644}]","[{""topology__many_to_many_ratio"": 0.38586604458989143}, {""temporal__interarrival_p75"": 0.30322199216308954}, {""topology__input_cell_count_median"": 0.25122255921588205}]"
PC7,0.9257517624120539,1.591605565914996,0.01724907654984456,"[""templates"", ""temporal"", ""topology""]","[{""topology__consolidation_event_count"": -0.1913027293489364}, {""temporal__burst_count"": -0.18445009791828793}, {""topology__one_to_one_ratio"": -0.16690336384116694}]","[{""temporal__interarrival_skewness"": 0.5657693501139455}, {""temporal__interarrival_kurtosis"": 0.5424917375687272}, {""topology__one_to_many_ratio"": 0.2457908009413999}]"
PC8,0.938343425437193,1.1618570360578495,0.012591663025139045,"[""templates"", ""temporal"", ""topology""]","[{""topology__consolidation_event_count"": -0.6431824320375279}, {""topology__fragmentation_event_count"": -0.4154729968283772}, {""topology__topology_entropy"": -0.2262369005552424}]","[{""temporal__active_day_concentration"": 0.31551824223794384}, {""topology__one_to_one_ratio"": 0.23043548144800197}, {""topology__dominant_topology_ratio"": 0.138163213867887}]"
PC9,0.9474721345755918,0.8423236010524633,0.009128709138398833,"[""templates"", ""temporal"", ""topology""]","[{""topology__consolidation_event_count"": -0.2851499537379392}, {""temporal__burst_count"": -0.2650300435212425}, {""temporal__gap_entropy"": -0.2637070750828093}]","[{""topology__fragmentation_event_count"": 0.6563408175181966}, {""templates__transition_repeat_ratio"": 0.2955943602025662}, {""topology__many_to_one_ratio"": 0.1913468921014286}]"
PC10,0.9550824605174071,0.7022194546136241,0.007610325941815291,"[""templates"", ""temporal"", ""topology""]","[{""topology__many_to_one_ratio"": -0.38625619580475967}, {""templates__transition_repeat_ratio"": -0.38351156906410505}, {""topology__consolidation_event_count"": -0.346365145353164}]","[{""topology__fragmentation_event_count"": 0.40994518962823107}, {""topology__many_to_many_ratio"": 0.25528448928721564}, {""templates__rare_template_ratio"": 0.2263523571408376}]"
PC11,0.961795136532537,0.6193915643536942,0.006712676015129901,"[""templates"", ""temporal"", ""topology""]","[{""temporal__burst_count"": -0.6348317234855958}, {""topology__one_to_one_ratio"": -0.2763484468934552}, {""topology__many_to_one_ratio"": -0.2743354538657748}]","[{""topology__many_to_many_ratio"": 0.226268331498522}, {""topology__topology_entropy"": 0.21244392853674277}, {""topology__one_to_many_ratio"": 0.17556960207871256}]"
PC12,0.9672954435706997,0.5075239402459518,0.005500307038162688,"[""templates"", ""temporal"", ""topology""]","[{""temporal__active_day_concentration"": -0.28228565661642796}, {""temporal__burst_count"": -0.2751796137158258}, {""topology__consolidation_event_count"": -0.24712503326800317}]","[{""temporal__gap_entropy"": 0.6001165243864098}, {""templates__dominant_template_count"": 0.2302567018861017}, {""topology__dominant_topology_ratio"": 0.21312538485753077}]"
PC13,0.9720027535983858,0.43435257643517977,0.004707310027686072,"[""templates"", ""temporal"", ""topology""]","[{""templates__consecutive_template_repeat_ratio"": -0.3845091823117656}, {""temporal__burst_count"": -0.291750184900057}, {""topology__input_cell_count_cv"": -0.20503584081632614}]","[{""temporal__active_hour_concentration"": 0.451419496575686}, {""topology__output_cell_count_mean"": 0.3240782449824852}, {""topology__consolidation_event_count"": 0.2727358200617009}]"
PC14,0.9761640898070787,0.3839745189987484,0.004161336208692855,"[""templates"", ""temporal"", ""topology""]","[{""templates__transition_repeat_ratio"": -0.321205883472342}, {""templates__template_entropy"": -0.24950930711898922}, {""temporal__active_day_concentration"": -0.20012119783228602}]","[{""templates__consecutive_template_repeat_ratio"": 0.53659889611979}, {""templates__dominant_template_ratio"": 0.4321462488793797}, {""topology__dominant_topology_ratio"": 0.22581875521373584}]"
PC15,0.9797112666181356,0.32730484669416343,0.0035471768110568974,"[""templates"", ""temporal"", ""topology""]","[{""topology__one_to_one_ratio"": -0.5094868699953398}, {""templates__dominant_template_count"": -0.23071336672285261}, {""topology__consolidation_event_count"": -0.20532695354136654}]","[{""temporal__burst_count"": 0.3772101778287834}, {""topology__one_to_many_ratio"": 0.3526416919714866}, {""topology__input_cell_count_median"": 0.21513389022947516}]"
PC16,0.9830154067188656,0.3048793806258689,0.003304140100730004,"[""templates"", ""temporal"", ""topology""]","[{""temporal__gap_entropy"": -0.47236827858709113}, {""temporal__active_day_concentration"": -0.3833400300389551}, {""temporal__interarrival_p75"": -0.28791778486222486}]","[{""temporal__interarrival_std_seconds"": 0.47126854227529213}, {""temporal__burst_count"": 0.18822179502698735}, {""temporal__interarrival_mean_seconds"": 0.1409188037633336}]"
PC17,0.9855373877071378,0.23270805057109725,0.0025219809882722757,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_std_seconds"": -0.4931061079738181}, {""temporal__active_day_concentration"": -0.22110809190464334}, {""temporal__interarrival_p75"": -0.2153757171856732}]","[{""temporal__interarrival_p90"": 0.536686758065027}, {""topology__input_cell_count_median"": 0.23366981011154442}, {""temporal__interarrival_mean_seconds"": 0.19300412714950121}]"
PC18,0.9878022174155051,0.20898020594148606,0.002264829708367264,"[""templates"", ""temporal"", ""topology""]","[{""templates__consecutive_template_repeat_ratio"": -0.49375787174189933}, {""topology__input_cell_count_cv"": -0.35417403302280004}, {""topology__input_cell_count_median"": -0.31492839194725153}]","[{""topology__many_to_one_ratio"": 0.3256967671060532}, {""templates__dominant_template_ratio"": 0.22913080060979174}, {""temporal__interarrival_p90"": 0.1037668659409254}]"
PC19,0.9897248597163851,0.17740591378915122,0.0019226423008799824,"[""templates"", ""temporal"", ""topology""]","[{""topology__input_cell_count_median"": -0.5273097881952111}, {""temporal__interarrival_p10"": -0.2278177445448922}, {""temporal__interarrival_std_seconds"": -0.19144222450295093}]","[{""topology__external_input_lock_mean"": 0.4444294708321047}, {""templates__consecutive_template_repeat_ratio"": 0.3017818652955771}, {""topology__many_to_many_ratio"": 0.22251397550078372}]"
PC20,0.991354258051797,0.15034772744153588,0.0016293983354119055,"[""templates"", ""temporal"", ""topology""]","[{""topology__input_cell_count_cv"": -0.7764118165948125}, {""temporal__active_hour_concentration"": -0.24064850808597849}, {""topology__input_cell_count_mean"": -0.13106232164383735}]","[{""topology__input_cell_count_median"": 0.291039287949804}, {""templates__consecutive_template_repeat_ratio"": 0.2442652849853238}, {""templates__dominant_template_count"": 0.18892622247212318}]"
PC21,0.9927772392752905,0.1313012223558782,0.0014229812234934497,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_median_seconds"": -0.40647666445971703}, {""temporal__interarrival_p10"": -0.3312742857118372}, {""temporal__gap_entropy"": -0.3284602160080782}]","[{""temporal__interarrival_p75"": 0.2420706289909988}, {""topology__dominant_topology_ratio"": 0.2367775815461506}, {""temporal__interarrival_kurtosis"": 0.21494069485819803}]"
