activity_dependence,group,maximum_absolute_effect,median,metric,q25,q75,representation,standardized_effect
,0,,2.0,transaction_count,1.0,10.25,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.06532189691848371
,0,,1.0,observed_cell_count,1.0,7.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.07041953435299952
,0,,5.5,input_count,2.0,19.25,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.09369300297123878
,0,,3.5,output_count,2.0,44.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.06182825770866325
LOW_ACTIVITY_DEPENDENCE,0,0.09369300297123878,,OVERALL_CLASSIFICATION,,,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,
,1,,2.0,transaction_count,2.0,2.75,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.07157943640090524
,1,,2.0,observed_cell_count,2.0,4.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.07102996073517862
,1,,4.0,input_count,3.0,5.75,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.11848570568643099
,1,,4.0,output_count,3.0,6.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.09915304998571975
LOW_ACTIVITY_DEPENDENCE,1,0.11848570568643099,,OVERALL_CLASSIFICATION,,,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,
,2,,5.5,transaction_count,2.0,30.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.0797050294142134
,2,,8.0,observed_cell_count,2.0,30.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.07724435273436718
,2,,14.0,input_count,4.0,62.75,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.08220810328348196
,2,,10.0,output_count,3.0,77.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.08851100892090452
LOW_ACTIVITY_DEPENDENCE,2,0.08851100892090452,,OVERALL_CLASSIFICATION,,,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,
