aic,bic,components,converged,covariance_type,mean_assignment_entropy,minimum_component_size,representation
12558.23392774909,12833.85185768519,1,True,full,0.0,513,HIGH_CONFIDENCE_SCALED
9085.26207386422,9640.73820958159,2,True,full,1.946904833739496e-12,86,HIGH_CONFIDENCE_SCALED
7657.193748926259,8492.528090424901,3,True,full,0.012434220192074711,86,HIGH_CONFIDENCE_SCALED
-1544.83690137566,-429.64435409574776,4,True,full,0.005950901714062445,84,HIGH_CONFIDENCE_SCALED
-3888.6161870333253,-2493.5654339721423,5,True,full,0.00469994448398281,29,HIGH_CONFIDENCE_SCALED
-5847.89313687195,-4172.984178029496,6,True,full,0.0046999440172411895,29,HIGH_CONFIDENCE_SCALED
-6171.152588418046,-4216.3854237943215,7,True,full,0.0001301622667541844,16,HIGH_CONFIDENCE_SCALED
-6537.222015863191,-4302.596645458196,8,True,full,0.0006132732693059966,14,HIGH_CONFIDENCE_SCALED
-7403.633751632075,-4889.150175445808,9,True,full,0.001278872598172635,14,HIGH_CONFIDENCE_SCALED
-7763.191342783295,-4968.849560815758,10,True,full,0.0011393830314218268,15,HIGH_CONFIDENCE_SCALED
14203.17218743757,14287.977704340987,1,True,diag,0.0,513,HIGH_CONFIDENCE_SCALED
10266.840000338085,10440.691309990087,2,True,diag,1.4283633157932114e-09,86,HIGH_CONFIDENCE_SCALED
8471.394015282924,8734.291117683511,3,True,diag,0.04718983927857482,86,HIGH_CONFIDENCE_SCALED
-1719.3761462119621,-1367.4332510627883,4,True,diag,8.009331890904622e-05,86,HIGH_CONFIDENCE_SCALED
-2860.072847064652,-2419.084159166892,5,True,diag,0.004240657484766466,51,HIGH_CONFIDENCE_SCALED
-5817.223020113887,-5287.188539467541,6,True,diag,0.006684635420359938,18,HIGH_CONFIDENCE_SCALED
-6429.5719772843095,-5810.491703889377,7,True,diag,0.0021737041028895205,18,HIGH_CONFIDENCE_SCALED
-8820.57082193712,-8112.444755793602,8,True,diag,0.011404248501103028,30,HIGH_CONFIDENCE_SCALED
-10061.902167068607,-9264.730308176502,9,True,diag,0.005494087775592303,25,HIGH_CONFIDENCE_SCALED
-11164.771598980056,-10278.553947339366,10,True,diag,0.005450913041832471,25,HIGH_CONFIDENCE_SCALED
11364.361961741848,13576.839833618149,1,True,full,0.0,249,TEMPORAL_STRUCTURE_SCALED
10471.89186479206,14900.365061441127,2,True,full,6.738039072328549e-174,3,TEMPORAL_STRUCTURE_SCALED
7190.15459214859,13834.623113570422,3,True,full,1.163767682929166e-53,3,TEMPORAL_STRUCTURE_SCALED
3400.1390023976983,12260.602848592296,4,True,full,0.0005056105837058634,3,TEMPORAL_STRUCTURE_SCALED
310.5438965688654,11387.003067536229,5,True,full,4.713803062019458e-11,3,TEMPORAL_STRUCTURE_SCALED
-4817.123194814238,8475.331300925893,6,True,full,4.1069674115206e-12,3,TEMPORAL_STRUCTURE_SCALED
-8168.775836322031,7339.673984190864,7,True,full,5.130105363448531e-14,3,TEMPORAL_STRUCTURE_SCALED
-7428.563162323913,10295.881982961746,8,True,full,1.669882123483091e-09,2,TEMPORAL_STRUCTURE_SCALED
-10242.783629475034,9697.656840583393,9,True,full,2.31669289651764e-19,2,TEMPORAL_STRUCTURE_SCALED
-11140.397021679943,11016.038773151253,10,True,full,1.688537630675972e-16,2,TEMPORAL_STRUCTURE_SCALED
22565.863447483982,22805.05024444358,1,True,diag,0.0,249,TEMPORAL_STRUCTURE_SCALED
21182.473659975945,21664.36470679161,2,True,diag,5.138218943866612e-88,3,TEMPORAL_STRUCTURE_SCALED
18083.95035925479,18808.545655926522,3,True,diag,0.019777713028938878,3,TEMPORAL_STRUCTURE_SCALED
12032.358966307813,12999.658512835607,4,True,diag,0.007091593664265873,2,TEMPORAL_STRUCTURE_SCALED
7525.329934412959,8735.333730796818,5,True,diag,0.001959148026191964,3,TEMPORAL_STRUCTURE_SCALED
5030.114207575976,6482.822253815901,6,True,diag,0.0016480880610481574,2,TEMPORAL_STRUCTURE_SCALED
2691.4223801168355,4386.834676212824,7,True,diag,0.004169263534379887,3,TEMPORAL_STRUCTURE_SCALED
4367.120134374001,6305.236680326056,8,True,diag,0.0010765402058305182,2,TEMPORAL_STRUCTURE_SCALED
3648.007695495788,5828.828491303906,9,True,diag,0.005935980615845539,2,TEMPORAL_STRUCTURE_SCALED
-20.570327635071635,2402.954718029112,10,True,diag,0.005793136200341648,2,TEMPORAL_STRUCTURE_SCALED
5222.991088440802,5817.867544558544,1,True,full,0.0,172,CELL_STRUCTURE_SCALED
