family,feature,group,median,q25,q75,representation,standardized_difference
capacity,capacity__capacity_repeat_ratio,0,-1.3489727248167438,-1.3489727248167438,-1.3489727248167438,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-1.3208851758223037
capacity,capacity__target_consumed_capacity,0,-4.044635599832544,-4.044635599832544,-4.044635599832544,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-2.1244382714547387
capacity,capacity__target_net_capacity_delta,0,0.6036766784778054,0.5422066507430445,0.6287261245309053,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,1.2908411810169045
lineage,lineage__continuation_count,0,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.48664493030513234
lineage,lineage__lineage_depth,0,-1.0,-1.0,-1.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.7362289808041212
lineage,lineage__lineage_repetition,0,-1.128899193514562,-1.128899193514562,1.027789217390062,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.21036688050202235
lineage,lineage__merge_count,0,-0.26957728969081496,-0.7304227103091852,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.3374308402685154
scripts,scripts__type_family_count,0,-0.501218028601448,-0.501218028601448,-0.501218028601448,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.05538579691797073
scripts,scripts__unique_lock_script_count,0,-0.3236566839097652,-0.5532947556651122,0.5978250373157219,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.12726015208574365
scripts,scripts__unique_type_script_count,0,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.24659531622222475
capacity,capacity__capacity_repeat_ratio,1,0.9020803841920981,-0.06265666252597707,0.9020803841920981,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.34157067433105615
capacity,capacity__target_consumed_capacity,1,0.12722467979283078,-0.46146055603848907,0.391949959318258,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.33746871901556047
capacity,capacity__target_net_capacity_delta,1,0.0,-0.5355372445782208,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.35385117907278923
lineage,lineage__continuation_count,1,0.0,0.0,1.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.04468046924427054
lineage,lineage__lineage_depth,1,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.11157687014645332
lineage,lineage__lineage_repetition,1,-1.128899193514562,-1.128899193514562,0.9122523382344572,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.3351045387488937
lineage,lineage__merge_count,1,0.0,-0.26957728969081496,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.3034601017479007
scripts,scripts__type_family_count,1,1.9951397255009098,1.9951397255009098,1.9951397255009098,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,1.9612208184751214
scripts,scripts__unique_lock_script_count,1,0.0,-0.14553555730732698,0.12304856042512263,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.3293402441723805
scripts,scripts__unique_type_script_count,1,1.0,1.0,1.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.9134116394198
capacity,capacity__capacity_repeat_ratio,2,0.9006822145591733,-0.5280004144723426,0.9020803841920981,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.2150471533736452
capacity,capacity__target_consumed_capacity,2,0.17068258933461455,-0.2634240300182783,0.42856657340042176,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.4360248558668433
capacity,capacity__target_net_capacity_delta,2,0.0,-0.5127631017507487,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.2629377347033997
lineage,lineage__continuation_count,2,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.08839022543704213
lineage,lineage__lineage_depth,2,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.0006224135208134452
lineage,lineage__lineage_repetition,2,0.6295370960582423,-1.128899193514562,1.027789217390062,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.06376872499815583
lineage,lineage__merge_count,2,0.0,-0.26957728969081496,0.8638405090822093,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.08096613617866023
scripts,scripts__type_family_count,2,-0.501218028601448,-0.501218028601448,-0.501218028601448,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.5007292737035348
scripts,scripts__unique_lock_script_count,2,0.0,-0.3236566839097652,0.9201098203938868,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,0.08616930250017238
scripts,scripts__unique_type_script_count,2,0.0,0.0,0.0,HIGH_CONFIDENCE_PCA4_LABELS_ON_SCALED_FEATURES,-0.3164756133820037
