cluster,membership_probability,representation,wallet
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq
1,1.0,HIGH_CONFIDENCE_SCALED,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqf4mptuftgkyj3u42mdwj9583pdfzvl6u5cg4qnx88s32fzxpeldkc9daejv92lx2qqqqqqqqqqqqqqqqqqqqqqqqqqqvqsqfnz866tkgcqqqqqqqqqqqqqphzrf9lmyqgqqqqqqqqqqqqqqqq7czxzj
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q245y9mqs3e4l6ycsv4amhgzhzd85ewf59amlnmqmur37uda2c8fuyf2j6v
1,0.8367507973444308,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qd8fdu5vu3fwqfjkscg6umfxczuyh7dd29nwexznhftzvr0znpzygrdjjm7
3,0.8142711905480854,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qf4mvqmuqzfeahs4axptm5en0m3jjndht530kdp0uvxvjr3un0rsvh828t2
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfg6grazjdwmf9uzf8deshhr9wsn85w2l66e8d9g7gpz0gveu28zv6pk3z4
3,0.7567961740819957,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qvml6appkndqvveylvggcmfk02vgs76k87eqmctyamkjwc0ppuqf5uvskfx
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qw3smwpw49khlnp34vzdfg27rsau0fpnx4eq8u6l4fzucydmsjkfy7jfem9
1,0.6303884536879759,HIGH_CONFIDENCE_SCALED,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqdc96g88lhq0ww27cjlp0j960kqvxlzyyhww4pyhk5ztgzaem7q5s6rs7mt
1,0.5734542305374998,HIGH_CONFIDENCE_SCALED,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq82w09dxh4f3gl6se95l7k0g3n3wjjsgdstzvp4c
2,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq84zvv7khuuad70n45llzf9p6zahk9680sw2qed8
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8crqpcx3nq9p23h8ep5zzpga67ygfd73scdttd5
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8gauytada8x688zt0makt3pjmdaad6u8uym77ef
0,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8hrnm86uy32m0wv24eqwyvl4crudtnc3yu82y8n
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8jjta82sj7lcz5ewruppmfrrvtg9nh4vvg5klxg
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v
