address,status,full_window,tx_in_window,window_days,hit_max_cap,estimated_remaining_tx,estimated_remaining_pages,pct_time_covered
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0w7teyh77d48krwz2837wwejrppzw905cm588n0,complete,True,23506,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv8cuf7vzh62m9gwyv59lzha9nx6ar5d9qqkp5em,complete,True,8337,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt3vn6g67jm7g5czehcmqdcr6jwjz8pdtg59p03h,complete,True,6732,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv9ft027uv84z4nc4wsgwl32u6ex4e4qsscccscx,complete,True,4297,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwf587k2zv9cxghautlmp0t89ufk5khvjs6cy70d,complete,True,4143,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq238c5e34lfkzag3r9mnzxkw2j5kv3dd9qm83gxr,complete,True,1420,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fwvu3c3vnh3pnrnynrn3zqzmsu7shaxg5tcdyt,complete,True,1320,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfcls7pnlg5eausdqrj4k0jrlhm7zy3jrsjljh33,complete,True,1184,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw8q4nj0qyp80m5pnsgqg0n09zmtxmfccgm4ldvz,complete,True,1174,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq084l0edu0ucchdngufewmh2mp2mlmqk8cqsq99n,complete,True,1047,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3ele94wtw253dum78vpuuy2rcspueckqp9hktf,complete,True,903,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf2pf3uu524tn9umy7g3gchaa6sgamvs4sx454l6,complete,True,869,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfxqr07vgqlgcke2waa8llnuc6e6fmqxdgpe06nl,complete,True,839,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2knh0gfpas59yxcp9hhl6dl22tztaxtwg5e4yru,complete,True,812,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw0dr0ghl76nf5xkw6lx0lxm032kw2jwwq6lnmhx,complete,True,778,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwj2d4whqxn9v85cy236x5vhnaw0h859pq02dapz,complete,True,768,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt44hj52utz2v6cpmwxuxyvkd6szca35fg4gv4wz,complete,True,728,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgh5jw6a3ex5mu4ry0dzl70rlmwmgq094s05vvyk,complete,True,716,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd2jafc05hxqah3mxwdfmcej0dynvhpf4gz3rjm2,complete,True,574,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3w85684vvlhfh93nrvkq6rz6ve7xu0ugjyfg3s,complete,True,573,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt9xmgc7s0x0ly43qpzev2er4w4320lwdgw4anh7,complete,True,573,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgyy000nyw2vusqvhqnhpclqay3ppme74q30qusp,complete,True,528,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdwhyh3f06wztrf9xlh56pu9nxvgf3k0lqjypm82,complete,True,524,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf874y3dwj99zjh5h9cah9cs5x30e3eajgxyv8lt,complete,True,511,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwpyugm7a4wtc5tphl0lwzjhcf9fu2l0ksdaezkc,complete,True,504,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qjj3mqkrdhzuga2qfzf72ma38xhpsaasfj3trw,complete,True,494,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq00s3af7c2hmt6at6mc8cmru3y799zsgaslvt7dx,complete,True,493,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e7teagdtnarf320ckuekrnpcdc4uzpdscj99tg,complete,True,476,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0d430ajed30h2df3d4eudc2d2jr45mr2qtpx9rj,complete,True,474,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cq8e9avklws5c6s8zqkh4gluc0q2jrasq93la2,complete,True,462,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0anafacyafq0j2rek0jx5rztanvvw9kcqdtkwna,complete,True,459,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0atd3ep6w47442fk86cxg5n0nsactvlts9nzk3r,complete,True,457,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwlfetev6txju367sg90xq0twvwgp7qa6qelcq7y,complete,True,456,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfk8ulu9g9wd9h3z4uvuct55u9xf3g5rwcf6r2em,complete,True,450,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0pqtmdkm4krzmr2frcwaug2zdndcm9mcgj0lp5q,complete,True,436,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq29kqmgkuplk5r7j3h8tjdex4cruvfzkfcmnttus,complete,True,432,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt6ppdkmsp25ffsxyr8ey2hg5detv2ulcsq54hkh,complete,True,408,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04vdv80ce23y6cs8050zkhdnm6v39y6ysd7rhfz,complete,True,404,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwrn48zffgqgctt2netwvhcdn3pnznxceg9lhd3j,complete,True,404,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwfna6z53rzj0vrgm3tujzzwldryr6jcnc8z4zde,complete,True,382,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv2mxk8gk0kdcqrjee7fdyy4dzjs3c8etq9dlarq,complete,True,377,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwy94evgzp6dpm0l454hcs685zt9uq34tg9rk4w6,complete,True,376,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvchzc8yxvnsrkmuncs6gvgdp4qemefwck97ulz,complete,True,369,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg7ufw40k8zhr0203nhe009gug2x5m9hfc7k2a50,complete,True,357,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtxvfgqpch85c3ygzs5mfzy7002ns368c4elvct,complete,True,326,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtg4cs6f9a2z82rlt748wx8jghe6qj9wfs6fnl7j,complete,True,321,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq087uc2epsa0ft08zu747g30c6zuh2lyxcsqugmn,complete,True,312,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2vr8y8dws0jkz062k8vlpafpu8x9rucvcggdkr4,complete,True,306,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgstg3ve68wkpcxkpy62ujul25dvpe0h4szkqsmr,complete,True,288,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdly7vzugjpxpzy4wc8u8dkpt6gmv2kknsw36cs0,complete,True,287,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv5uwm78vrgdrfmd056xn32q9junu3rg2c2we24p,complete,True,268,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg7hr6px90xaq7398ykma025h78hlt9q6sx6xhlc,complete,True,264,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvnz75wpz7kgfy6kmvukhlfmpkmg2kd2zgtuhp4d,complete,True,257,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gc0l4ju4sqmn2zcvhsv54srw725z40ac9kk09c,complete,True,256,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0p98vhh244qylurw3dl3luu76gx5awvss0lgkv2,complete,True,255,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv9vxgmpvg55u2p84e8xerreq8kg4lf4ugyddftc,complete,True,245,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e0epw8crx5qg3qz0v43fy5mql74jketq6hmau6,complete,True,244,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0xwaml2uqrvvy6fs9ade8nrxhtm9xagkqquphny,complete,True,222,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2aauj9xs25kff4dlkgydl9zs7ytyx8lgs0w28r7,complete,True,222,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgjdw5vq6y0me78r46vf29flspd83qy9us3p3jgp,complete,True,222,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt5w5jtzg2qf05s9u53cj2gv47v0uvu8dcwlvrqc,complete,True,215,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg6etjlacez8tnmwnue2rpngpyjzn7nd8q46sh5m,complete,True,205,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfza43g58rzyhcd8j6nav9c7cgefmwfgsq34yn7t,complete,True,200,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0fuqrqqcykvepusm4st0asqya208yzxcgcgewm5,complete,True,199,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2x2jxnym8qzdt7sn29pnlzwgneh80w3jszglw9k,complete,True,198,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y6r5a4py64gccqrd77qvuhr8v3d2xfjcnrz45r,complete,True,186,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgf977v8w9d3pd0fk7w6fxx48pl6veplgstupmw8,complete,True,183,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0she9la0u4z5zlwj3ckv25cvg6f2kjxmgw9vxx3,complete,True,179,30,False,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdqq677slvjxejspzxxuyrz3r8m4glpqrqve4u4k,complete,True,178,30,False,,,
